20,20,2,

12,25,12,12,12,12,12,12,25,12,12,24,12,12,12,12,12,12,12,24
12,12,12,12,12,24,12,12,12,12,12,12,12,12,12,25,12,33,12,12
12,33,12,12,12,12,12,25,0,1,20,2,12,12,24,12,12,12,12,12
12,12,12,24,12,12,49,20,21,35,9,19,20,1,48,12,12,12,12,12
12,12,12,12,12,36,26,9,27,9,9,27,9,27,9,37,12,12,32,12
12,12,12,12,41,35,9,9,9,9,9,9,26,9,34,26,40,12,12,12
12,24,12,12,8,9,9,34,9,3,4,5,9,35,9,27,10,12,12,12
12,12,12,0,21,9,9,9,9,11,33,13,9,9,9,3,18,12,12,12
12,12,12,16,5,9,27,9,9,19,20,21,9,9,9,10,25,12,12,12
24,12,12,24,13,34,9,9,9,9,9,9,9,9,35,48,12,12,33,12
12,12,12,12,49,9,26,9,9,27,9,9,9,9,29,32,12,12,12,12
12,12,12,12,32,28,35,9,9,9,9,27,9,29,12,12,32,12,12,12
12,33,12,12,12,12,28,9,9,9,9,26,29,33,12,12,12,12,12,12
12,12,12,12,12,12,32,43,9,9,9,42,24,12,12,12,33,12,12,12
12,12,12,12,25,12,12,16,5,26,9,50,12,12,12,12,12,12,25,12
12,12,33,12,12,12,12,12,13,9,9,9,40,12,12,12,12,12,12,12
12,12,12,12,12,33,12,12,8,9,9,34,11,12,12,12,12,12,12,12
25,12,12,12,12,12,12,12,51,27,9,9,11,12,12,12,12,12,24,12
12,12,12,12,12,12,12,41,9,9,9,35,48,12,12,33,12,12,12,12
12,33,12,12,12,24,12,8,35,9,27,42,12,25,12,12,12,12,12,12

-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,44,-1,-1,-1,-1,-1,-1,44,53,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,44,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,52,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,53,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,-1,-1
-1,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,44,-1,-1,-1,-1
-1,-1,44,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1
-1,-1,53,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,53,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1


